,control_p_val,control_avg_logFC,control_pct.1,control_pct.2,control_p_val_adj,treatment_p_val,treatment_avg_logFC,treatment_pct.1,treatment_pct.2,treatment_p_val_adj,max_pval,minimump_p_val,cluster,gene
PF3D7-1001600,7.49E-56,0.31397876,0.632,0.133,3.91E-52,2.52E-22,0.516745402,0.576,0.086,1.32E-18,2.52E-22,1.50E-55,6,PF3D7-1001600
PF3D7-1116100,2.60E-54,0.361351511,0.611,0.137,1.36E-50,1.04E-15,0.261263295,0.515,0.091,5.44E-12,1.04E-15,5.19E-54,6,PF3D7-1116100
PF3D7-0207100,6.56E-54,0.459078261,0.785,0.224,3.43E-50,6.03E-11,0.273130629,0.576,0.143,3.15E-07,6.03E-11,1.31E-53,6,PF3D7-0207100
PF3D7-0933500,1.56E-52,0.333759414,0.715,0.177,8.15E-49,4.50E-09,0.269856179,0.545,0.155,2.35E-05,4.50E-09,3.12E-52,6,PF3D7-0933500
PF3D7-0730500,1.62E-51,0.307734194,0.611,0.136,8.45E-48,1.77E-15,0.311414496,0.515,0.095,9.27E-12,1.77E-15,3.24E-51,6,PF3D7-0730500
PF3D7-1417800,8.84E-48,0.344925072,0.729,0.202,4.62E-44,1.41E-15,0.406995306,0.606,0.128,7.35E-12,1.41E-15,1.77E-47,6,PF3D7-1417800
PF3D7-0303200,7.04E-46,0.318503532,0.778,0.224,3.68E-42,2.15E-13,0.367301654,0.667,0.165,1.12E-09,2.15E-13,1.41E-45,6,PF3D7-0303200
PF3D7-0917900,1.99E-45,0.545391797,0.972,0.524,1.04E-41,1.04E-10,0.486927826,1,0.461,5.44E-07,1.04E-10,3.99E-45,6,PF3D7-0917900
PF3D7-1234900,2.07E-45,0.34955394,0.833,0.262,1.08E-41,2.90E-10,0.308474732,0.636,0.186,1.51E-06,2.90E-10,4.15E-45,6,PF3D7-1234900
PF3D7-1013600,4.28E-45,0.322774368,0.736,0.205,2.24E-41,5.00E-06,0.281513459,0.424,0.141,0.026144893,5.00E-06,8.56E-45,6,PF3D7-1013600
PF3D7-1319400,1.48E-43,0.330027426,0.833,0.261,7.75E-40,1.96E-20,0.474181816,0.788,0.17,1.02E-16,1.96E-20,2.97E-43,6,PF3D7-1319400
PF3D7-0719900,1.18E-40,0.370989555,0.806,0.27,6.19E-37,1.59E-12,0.39897004,0.758,0.22,8.29E-09,1.59E-12,2.37E-40,6,PF3D7-0719900
PF3D7-1014300,8.62E-36,0.327509862,0.653,0.207,4.50E-32,1.45E-20,0.439092521,0.697,0.131,7.56E-17,1.45E-20,1.72E-35,6,PF3D7-1014300
PF3D7-1021800,6.96E-35,0.366625836,0.833,0.318,3.64E-31,1.34E-11,0.410608165,0.758,0.243,7.01E-08,1.34E-11,1.39E-34,6,PF3D7-1021800
PF3D7-0220000,1.16E-34,0.397009161,0.861,0.339,6.07E-31,1.11E-08,0.417489848,0.879,0.356,5.78E-05,1.11E-08,2.32E-34,6,PF3D7-0220000
PF3D7-0210200,2.02E-32,0.367688594,0.764,0.296,1.06E-28,4.11E-08,0.293831847,0.636,0.216,0.000214843,4.11E-08,4.05E-32,6,PF3D7-0210200
PF3D7-0515300,1.56E-31,0.320456318,0.764,0.276,8.14E-28,8.08E-06,0.294139482,0.636,0.264,0.042206527,8.08E-06,3.12E-31,6,PF3D7-0515300
